station_name,collectioncode,seriescode,ocean,station_type,latitude,longitude,depth,stationstatus,stationclass,first_year,last_year,locality,rcvr_serial,map_code
R10-LA PEROUSE,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.57911,-156.41499,19.288,active,deployed,2015-08-24,2016-09-05,,,
R11-LAE OKAKA,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.50659,-156.54376,126.5776,active,deployed,2015-08-27,2016-03-16,,,
R2-SUB_A,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.63229,-156.49693,14.716000000000001,active,deployed,2015-08-27,2016-12-07,,,
R3-SUB_A,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.6332,-156.49524,27.2128,active,deployed,2015-08-28,2016-09-05,,,
R4-MCGREGER POINT,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.77413,-156.52092,24.4696,active,deployed,2015-08-29,2017-01-10,,,
R5-SUB_B,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.63042,-156.49553,19.288,active,deployed,2015-08-27,2016-09-05,,,
R6-NORTH SEA MOUNT,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.66218,-156.49823,115.90960000000001,active,deployed,2015-08-29,,,,
R7-KAUPO,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.62827,-156.11826,25.384,active,deployed,2015-08-28,2016-12-07,,,
R8-HAKIOAWA KIR,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.59367,-156.551,14.716000000000001,active,deployed,2013-06-13,,,,
R9-NORTH KIR,PIRAT.MNUI,PIRAT,MID PACIFIC,Acoustic,20.60172,-156.61555,89.08720000000001,active,deployed,2015-08-27,2016-03-16,,,
ROBS REEF/THREE ROOM CAVE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.33052,-155.88675,unknown,active,deployed,2003-01-13,2012-03-21,,,
SAND ISLAND,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.28772,-157.88872,unknown,active,deployed,2007-03-13,2007-10-01,,,
SIXGILL 2,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.48795,-157.75591,unknown,active,deployed,2019-04-28,2020-01-23,,,
SLIP J-29,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.66923,-156.02313,unknown,active,deployed,2003-08-03,2008-02-10,,,
SOUTHPOINT,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,18.86668,-155.68187,128.016,active,deployed,2021-10-31,2022-12-01,,,
SUCK-EM-UP,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.69147,-156.04177,unknown,active,deployed,2003-10-08,2008-08-17,,,
SURFER POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.4633,-155.92659,unknown,active,deployed,2005-12-10,2012-03-21,,,
Sunset Beach,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.6771,-158.04376,unknown,active,deployed,2014-08-20,,,,
TURTLE CENTRAL FINGER,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.67278,-156.0323,unknown,active,deployed,2003-08-28,2004-12-22,,,
TURTLE HEAVEN,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.67,-156.02,unknown,active,deployed,2003-12-09,2008-08-22,,,
TURTLE PAI,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.67118,-156.03,unknown,active,deployed,2003-08-27,2003-12-09,,,
TURTLE PINNACLE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.67163,-156.03112,unknown,active,deployed,2003-08-27,2008-08-16,,,
Turtle Cave,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.47389,-157.77861,unknown,active,deployed,2011-08-02,2021-10-03,,,
Ulua Barge,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.52571,-157.81158,unknown,active,deployed,2012-09-20,,,,
Ulua Cave Kaneohe,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.50165,-157.79363,unknown,active,deployed,2009-12-09,2021-10-03,,,
WAIKIKI EAST DEEP,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.2716,-157.86293,183,active,deployed,2012-04-26,2018-11-08,,,
WAIKIKI WEST DEEP,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.27442,-157.89825,183,active,deployed,2012-04-26,2021-12-18,,,
WAIMEA OCEANOGRAPHIC BUOY,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.66617,-158.12233,unknown,active,deployed,2007-05-03,2007-08-08,,,
WHOT BUOY,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,22.766,-157.8993,5000.0,active,deployed,2018-09-01,2023-06-19,,,
Waiehu Shallow,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.90974,-156.47993,unknown,active,deployed,2014-01-15,2015-06-28,,,
Waikiki East Mid,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.27402,-157.85913,73,active,deployed,2012-04-26,,,,
Waikiki East Shallow,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.27628,-157.85495,unknown,active,deployed,2012-11-28,2018-11-08,,,
Waikiki West Mid,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.28035,-157.89583,73,active,deployed,2011-12-01,2018-11-09,,,
Waikiki West Shallow,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.28347,-157.8932,37,active,deployed,2012-04-26,2018-11-09,,,
Waimea Bay,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.64316,-158.07024,unknown,active,deployed,2008-09-14,2018-09-10,,,
1A45FSW,PIRAT.MOLOKI,PIRAT,MID PACIFIC,Acoustic,20.63359,-156.49791,unknown,active,deployed,2020-05-23,,,,
2A45FSW,PIRAT.MOLOKI,PIRAT,MID PACIFIC,Acoustic,20.63229,-156.49693,unknown,active,deployed,2020-05-23,,,,
3A89FSW,PIRAT.MOLOKI,PIRAT,MID PACIFIC,Acoustic,20.63309,-156.49512,unknown,active,deployed,2020-05-23,,,,
4B46FSW,PIRAT.MOLOKI,PIRAT,MID PACIFIC,Acoustic,20.63283,-156.49309,unknown,active,deployed,2020-05-23,,,,
5B60FSW,PIRAT.MOLOKI,PIRAT,MID PACIFIC,Acoustic,20.63042,-156.49553,unknown,active,deployed,2020-05-23,,,,
6B55FSW,PIRAT.MOLOKI,PIRAT,MID PACIFIC,Acoustic,20.63041,-156.49782,unknown,active,deployed,2020-05-23,,,,
7B68FSW,PIRAT.MOLOKI,PIRAT,MID PACIFIC,Acoustic,20.63162,-156.49919,unknown,active,deployed,2020-05-23,,,,
