station_name,collectioncode,seriescode,ocean,station_type,latitude,longitude,depth,stationstatus,stationclass,first_year,last_year,locality,rcvr_serial,map_code
HIMB POINT LAB,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.4329,-157.78626,unknown,active,deployed,2012-02-01,2014-04-16,,,
HIMB REEF 3 NORTH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43779,-157.7933,unknown,active,deployed,2012-02-24,2014-04-16,,,
HIMB REEF 3 SOUTH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43436,-157.79351,unknown,active,deployed,2012-02-24,2014-04-16,,,
HIMB REEF 8 EAST,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.44353,-157.79193,unknown,active,deployed,2012-02-24,2014-04-16,,,
HIMB REEF 8 NORTH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.44608,-157.79545,unknown,active,deployed,2012-02-24,2012-10-24,,,
HIMB REEF 8 SOUTH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43995,-157.79244,unknown,active,deployed,2012-11-02,2014-04-16,,,
HIMB REEF 8 WEST,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.44196,-157.79625,unknown,active,deployed,2012-10-24,2014-04-16,,,
HIMB SE WALL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43128,-157.78691,unknown,active,deployed,2012-02-01,2014-04-16,,,
HIMB SOUTH EAST,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43453,-157.78382,unknown,active,deployed,2011-08-02,2018-09-19,,,
HIMB SOUTH POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.42974,-157.78835,unknown,active,deployed,2012-02-01,2014-04-16,,,
HIMB SW WALL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43042,-157.79013,unknown,active,deployed,2012-02-01,2014-04-16,,,
HIMB South East,PIRAT.PFRL,PIRAT,MID PACIFIC,,21.43453,-157.78382,unknown,active,deployed,,,,,
HIMB WEST COVE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43511,-157.79115,unknown,active,deployed,2011-12-14,2014-04-16,,,
HONAUNAU,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.42299,-155.91919,107.8992,active,deployed,2020-10-17,2025-08-29,,,
HONOKOHAU BASIN,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.66997,-156.02672,unknown,active,deployed,2003-06-26,,,,
HONOKOHAU CHANNEL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.66865,-156.02965,unknown,active,deployed,2003-08-19,2008-08-16,,,
HONOKOWAI DEEP,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.97426,-156.68391,unknown,active,deployed,2014-07-22,2017-03-14,,,
HONOKOWAI SHALLOW,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.97911,-156.71402,unknown,active,deployed,2014-07-21,2019-04-07,,,
HSE,PIRAT.PFRL,PIRAT,MID PACIFIC,Transceiver,21.64377,-158.11914,100,active,deployed,2024-04-16,,,,
IN CON,PIRAT.PFRL,PIRAT,MID PACIFIC,Transceiver,21.61301,-158.14077,unknown,active,deployed,2022-08-15,,,,
IV,PIRAT.PFRL,PIRAT,MID PACIFIC,Transceiver,21.63454,-158.12318,unknown,active,deployed,2020-12-29,,,,
JOHNSTON SHARK LEDGE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,25.46057,-170.68168,unknown,active,deployed,2009-06-20,2011-09-11,,,
KAENA POINT,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,21.58629,-158.35048,98.7552,active,deployed,2022-03-02,2024-05-20,,,
KAIWI PT MIDDLE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.65583,-156.03387,unknown,active,deployed,2002-11-28,2012-03-22,,,
KAIWI PT NORTH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.66207,-156.03168,unknown,active,deployed,2003-06-27,2010-12-18,,,
KAIWI PT SOUTH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.64628,-156.02585,unknown,active,deployed,2003-06-30,2008-08-20,,,
KALOKO POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.68138,-156.03465,unknown,active,deployed,2003-12-09,2012-03-23,,,
KANAHA SHALLOW,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.9084,-156.44199,unknown,active,deployed,2014-01-15,2018-01-25,,,
KAULA ROCK 5 FATHOM PINNACLE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.68698,-160.60312,unknown,active,deployed,2008-06-26,2009-07-02,,,
KBAY GREEN BUOY 23,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.44778,-157.79155,unknown,active,deployed,2014-05-21,2018-09-20,,,
KBAY_OFF,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,21.51802,-157.79314,106.07039999999999,active,deployed,2022-05-29,2024-11-23,,,
KEAHOLE POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.72,-156.06,unknown,active,deployed,2004-01-06,,,,
KEALAKEKUA BAY LIGHTHOUSE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.47,-155.93,unknown,active,deployed,2007-05-13,,,,
KEALAKEKUA BAY MIDDLE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.47998,-155.92695,unknown,active,deployed,2005-12-10,2010-12-19,,,
KEALAKEKUA BAY NORTH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.4875,-155.95143,unknown,active,deployed,2003-12-14,2012-03-21,,,
KEALAKEKUA_NTH,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.48882,-155.95944,118.872,active,deployed,2020-10-17,,,,
KEAUHOU,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.55848,-155.96797,unknown,active,deployed,2003-01-12,,,,
KEAUHOU FISH CAGE,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.5514,-156.0506,2000.0,active,deployed,2019-07-08,2021-06-25,,,
KEAUHOU FISH CAGE OUTSIDE,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.5514,-156.0506,2000.0,active,deployed,2021-06-16,2021-06-25,,,
KEAUHOU_1,PIRAT.LHWI,PIRAT,MID PACIFIC,Acoustic,19.53177,-155.97908,100.584,active,deployed,2020-03-26,2020-10-14,,,
KEAUHOU_2,PIRAT.LHWI,PIRAT,MID PACIFIC,Acoustic,19.54547,-155.98731,84.1248,active,deployed,2020-03-26,2020-10-14,,,
KEAUHOU_3,PIRAT.LHWI,PIRAT,MID PACIFIC,Acoustic,19.5609,-155.98808,80.4672,active,deployed,2020-03-26,2020-10-14,,,
KEAUHOU_MID,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.57098,-156.00156,146.304,active,deployed,2020-10-16,2025-08-29,,,
KEAUHOU_NTH,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.58677,-156.00586,128.016,active,deployed,2020-10-16,2025-08-29,,,
KEAUHOU_STH,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.54549,-155.98735,85.9536,active,deployed,2020-10-16,2025-08-29,,,
KEKAHA KAI STATE PARK,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.78425,-156.03905,unknown,active,deployed,2002-11-29,2008-08-18,,,
KIHOLO BAY,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.87322,-155.92272,unknown,active,deployed,2003-12-30,2012-03-20,,,
KIPAPA MID,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.4972,-157.77452,unknown,active,deployed,2013-11-19,2019-11-27,,,
KONA FISH CAGE,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.714,-156.0546,2000.0,active,deployed,2017-10-10,2024-09-24,,,
KONA VILLAGE RESORT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.83627,-155.98648,unknown,active,deployed,2002-11-29,2012-03-20,,,
KOOLINA BARGE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.33065,-158.20115,unknown,active,deployed,2007-02-11,2007-10-01,,,
KUA BAY,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.82067,-156.00353,unknown,active,deployed,2003-05-14,2008-08-18,,,
KUKIO,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.82762,-156.00957,54.864,active,deployed,2020-10-16,2021-10-28,,,
KURE EASTERN BARRIER REEF,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,28.42502,-178.28172,unknown,active,deployed,2008-08-16,2012-07-17,,,
KURE NORTH BARRIER REEF,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,28.46045,-178.32629,unknown,active,deployed,2008-06-14,2012-07-17,,,
KURE NORTH FLATS,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,28.45215,-178.31523,unknown,active,deployed,2005-06-01,2008-08-12,,,
KURE SE CHANNEL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,28.38183,-178.3086,unknown,active,deployed,2006-09-18,2012-07-17,,,
KURE WEST CHANNEL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,28.40388,-178.37508,unknown,active,deployed,2005-06-01,2012-07-17,,,
Kaanapali Deep,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.92041,-156.74126,unknown,active,deployed,2014-07-22,2018-01-27,,,
Kahului Deep,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.94742,-156.45448,unknown,active,deployed,2014-01-15,2019-04-08,,,
Kahului Mid,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.92818,-156.45049,unknown,active,deployed,2014-01-15,2019-04-08,,,
Kalama Deep,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.71473,-156.48593,unknown,active,deployed,2013-10-21,2019-04-06,,,
Kalama Shallow,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.72546,-156.45827,unknown,active,deployed,2013-10-21,2018-01-26,,,
Kaneohe Bay Lilipuna,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43198,-157.79348,unknown,active,deployed,2012-08-27,2018-09-20,,,
Kaneohe Bay Midbay,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.46295,-157.81978,unknown,active,deployed,2009-04-14,2018-09-19,,,
Kaneohe Bay North Channel GR5,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.49908,-157.82785,unknown,active,deployed,2011-08-03,2021-10-03,,,
Kaneohe Bay Reef 44,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.4767,-157.8299,unknown,active,deployed,2011-08-03,2018-09-19,,,
Kipapa  Deep,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.50922,-157.76558,unknown,active,deployed,2012-12-07,2019-11-27,,,
Kipapa Medium,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.49728,-157.77423,unknown,active,deployed,2012-12-07,2018-10-04,,,
Kipapa Shallow,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.49008,-157.7788,unknown,active,deployed,2012-12-07,2019-11-27,,,
LAYSAN SOUTH END,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,25.75463,-171.71562,unknown,active,deployed,2006-09-10,2009-06-28,,,
LAYSAN WEST COVE CHANNEL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,25.77395,-171.74248,unknown,active,deployed,2006-09-10,2007-07-25,,,
LEHUA CRATER,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,22.02951,-160.09802,unknown,active,deployed,2007-10-15,2008-03-20,,,
LESLIE MOORINGS,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.47431,-155.9243,unknown,active,deployed,2005-12-10,2010-12-19,,,
LISIANSKI EAST SIDE OF ISLAND,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,26.05728,-173.95957,unknown,active,deployed,2006-09-26,2011-09-15,,,
LISIANSKI SOUTH NEVA SHOALS,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,25.88237,-173.91573,unknown,active,deployed,2006-09-26,2011-09-15,,,
